Date,Temperature,Humidity,NO2,SO2,PM2.5
01/06/2019,29.32,33.23,18.61,18.54,32.12
02/06/2019,35.04,30.76,20.42,7.77,30.6
03/06/2019,25.95,36.43,11.54,11.06,30.18
04/06/2019,30.15,38.38,11.71,11.4,30.91
05/06/2019,25.87,36.55,11.97,11.57,30.74
06/06/2019,21.72,35.43,11.44,11.84,29.41
07/06/2019,22.48,36.1,11.22,11.66,29.24
08/06/2019,24.33,36.91,11.66,11.47,28.35
09/06/2019,24.62,36.9,11.21,11.06,29.9
10/06/2019,24.6,38.17,11.14,11.33,32.76
11/06/2019,21.8,38.86,11.47,11.32,28.47
12/06/2019,20.53,39.55,10.67,10.9,26.67
13/06/2019,23.14,36.63,12.32,11.62,30.7
14/06/2019,23.32,36.47,11.99,11.18,29.43
15/06/2019,23.78,40.92,10.28,10.1,28.23
16/06/2019,22.89,41.81,10.47,10.29,27.35
17/06/2019,23.25,39.41,10.76,10.89,29.75
18/06/2019,23.04,40.07,10.78,10.7,28.67
19/06/2019,32.93,35.32,16.98,7.1,29.52
20/06/2019,27,37.4,11.44,10.43,17
21/06/2019,27.4,35.43,12.18,10.88,19.57
22/06/2019,27.27,36.65,11.91,10.49,20.73
23/06/2019,26.73,37.89,11.44,10.3,24.2
24/06/2019,26.07,37.04,14.52,11.5,30.39
25/06/2019,32.2,31.71,14.23,11.6,27.31
26/06/2019,35.47,24.58,14.26,12.26,28.83
27/06/2019,35.62,18.7,13.91,11.19,34.22
28/06/2019,36,18.45,13.87,11.17,32.84
29/06/2019,37.64,19.87,11.62,10,43.29
30/06/2019,35.9,22.37,11.91,9.39,29.16
01/07/2019,36.37,20.34,15.03,10.6,33.67
02/07/2019,38.5,18.5,15.43,11.66,41.24
03/07/2019,36.53,18.11,16.06,11.82,41.36
04/07/2019,36.77,18.81,16.17,11.1,42.24
05/07/2019,34,24.58,15.05,9.79,34.25
06/07/2019,29.5,28.58,12.39,8.81,31.6
07/07/2019,33.5,30.95,12.44,8.93,32.31
08/07/2019,34.67,34.64,14.1,10.13,31.94
09/07/2019,34.67,34.64,14.1,10.13,31.94
10/07/2019,29,38.22,14.04,9.47,30.98
11/07/2019,28.33,39.34,13.12,9.08,31.07
12/07/2019,30.6,38.31,10.93,7.12,39.55
13/07/2019,28.7,41.73,10.07,6.17,27.6
14/07/2019,28.6,43.17,10.12,6.21,28.43
15/07/2019,29.44,61.83,7.7,5.66,31.59
16/07/2019,27.53,59.13,11.14,4.29,26
17/07/2019,27.07,64.13,10.28,5.08,34.86
18/07/2019,27.87,62.46,12.91,5,36.5
19/07/2019,30.7,54.2,13.91,5.38,36.67
20/07/2019,30.93,52.54,11.74,4.61,26.26
21/07/2019,27.9,58.79,11.43,4.43,34.3
22/07/2019,29.57,81.5,9.09,5.91,37.85
23/07/2019,30.8,46.82,13.59,4.7,41.39
24/07/2019,34.83,59.82,10,4.15,44.2
25/07/2019,25.03,62.06,16.05,4.77,24.24
26/07/2019,27.73,55.83,16.19,4.73,23.82
27/07/2019,26.73,57.97,14.78,4.67,23.82
28/07/2019,27.37,59.82,16.19,4.88,24.56
29/07/2019,31.03,48.49,12.23,4.89,25.49
30/07/2019,31.4,45.78,11.14,5.07,28.26
31/07/2019,26.93,48.49,9.57,5.8,18.75
01/08/2019,25.6,59.72,11.43,5.72,18.68
02/08/2019,29,43.44,12.34,5.95,27.35
03/08/2019,28.43,47.45,10.95,5.56,24.01
04/08/2019,31.47,44.23,14.66,4.85,28.44
05/08/2019,31.17,49.04,8.27,5.13,27.78
06/08/2019,31.6,51.94,10.77,5.02,26.82
07/08/2019,27.77,54.47,13.02,5.95,26.77
08/08/2019,31.53,47.62,10.11,5.26,29.1
09/08/2019,28.87,69.23,10.8,5.62,22.1
10/08/2019,25.29,65.47,11.85,5.64,20.64
11/08/2019,26.6,60.55,12.25,5.85,24.82
12/08/2019,27.73,57.5,11.97,5.79,23.89
13/08/2019,29.48,57.76,10.77,5.58,22.6
14/08/2019,28.63,64.6,11.15,5.75,24.55
15/08/2019,29.43,69.22,11.51,5.95,26.99
16/08/2019,28.47,62.47,9.22,6.08,26.77
17/08/2019,28.83,70.17,11.09,6.37,26.77
18/08/2019,28.82,69.95,10.73,6.46,26.04
19/08/2019,29.17,63.89,13.48,6.71,24.56
20/08/2019,30.4,69.31,16.3,6.99,25.94
21/08/2019,29.83,65.5,17.95,6.58,27.17
22/08/2019,30.83,62.33,12.51,6.17,33.21
23/08/2019,29.53,69.42,15.5,6.67,33.29
24/08/2019,31.17,57.33,14.53,6.15,33.17
25/08/2019,30.43,60.26,10.32,6.33,35.45
26/08/2019,26.53,70.98,15.19,7.6,31.91
27/08/2019,29.83,65.5,17.95,6.58,27.17
28/08/2019,30.83,64.58,13.18,6.54,37.17
29/08/2019,30.6,66.55,14.71,6.51,37.35
30/08/2019,30.43,60.26,10.32,6.33,35.45
31/08/2019,29.87,66.28,19,6.74,33.47
01/09/2019,30.33,68.79,10.95,6.84,27.57
02/09/2019,30.47,66.16,12.51,6.96,25.32
03/09/2019,30.5,67.02,15.13,6.95,33.82
04/09/2019,31.23,64.27,12.29,7.95,34.88
05/09/2019,29.67,72.43,11.66,7.8,32.93
06/09/2019,30.13,78.47,12.79,7.68,32.72
07/09/2019,30,72.46,10.82,7.72,23.29
08/09/2019,29.4,73.76,13.16,7.86,29.26
09/09/2019,31.3,68.15,10.23,6.74,36.71
10/09/2019,31.53,66.79,10.64,6.74,37.36
11/09/2019,31.27,68.47,11.95,6.8,41.63
12/09/2019,31.8,63.8,13.82,6.68,44.38
13/09/2019,28.77,77.62,11.49,5.75,35.04
14/09/2019,30.03,72.32,11.38,5.52,30.12
15/09/2019,29.5,73.45,10.61,5.85,29.91
16/09/2019,28.57,77.32,11.93,5.79,30.16
17/09/2019,29.4,76.72,15.65,9.65,44.49
18/09/2019,28.93,80.14,13.67,8.6,51.04
19/09/2019,27.23,83.96,12.79,7.91,36.21
20/09/2019,27.67,78.26,14.29,8.44,33.28
21/09/2019,28.7,74.47,17.3,9.85,41.81
22/09/2019,29.43,71.81,13.85,11.09,42.24
23/09/2019,28.4,76,12.6,9.85,43.34
24/09/2019,28.43,74.26,12.32,9.84,53.16
25/09/2019,27.17,80.28,14.59,10.28,60.7
26/09/2019,28.8,78.07,11.6,9.48,51.52
27/09/2019,27.67,83.69,14.21,9.85,29.31
28/09/2019,26.43,84.56,11.23,8.82,23.85
29/09/2019,26.53,82.08,9.78,8.38,27.6
30/09/2019,27,78.69,12.11,9.12,28.35
01/10/2019,25.6,83.38,15.25,9.89,32.95
02/10/2019,26.07,80.52,16.43,11.82,39.35
03/10/2019,23.73,85.4,19.68,13.85,40.55
04/10/2019,26.07,80.68,11.58,9.45,27.27
05/10/2019,26.47,83.11,15.11,10.93,34.79
06/10/2019,23.37,85.79,22.96,17,47.15
07/10/2019,24.57,82.11,17.78,14.99,31.08
08/10/2019,26.4,79.13,16.55,13.94,38.7
09/10/2019,25.03,85.36,22.89,9.9,33.55
10/10/2019,26.6,81.38,19.44,10.56,41.75
11/10/2019,27,79.01,21.55,10.74,47.03
12/10/2019,26.97,79.76,21.63,10.73,58.63
13/10/2019,27.13,78.78,19.23,10.8,58.51
14/10/2019,27.23,76.34,20.13,11.67,55.78
15/10/2019,27.47,76.32,19.56,11.09,54.67
16/10/2019,27.13,78.78,19.14,11.19,89.96
17/10/2019,26.27,85.24,14.6,11.2,53.43
18/10/2019,24.63,86.38,16.53,12.39,34.59
19/10/2019,24.77,84.24,20.1,12.98,45.87
20/10/2019,24.87,80.71,16.52,13.62,52.94
21/10/2019,24.87,80.71,16.52,13.62,52.94
22/10/2019,25.17,82.74,20.88,13.4,46.37
23/10/2019,25.57,80.26,19.66,13.2,49.94
24/10/2019,26.27,77.94,21.18,13,56.43
25/10/2019,26.53,75.24,18.41,12.91,56.81
26/10/2019,26.43,76.06,23.31,11.93,52.23
27/10/2019,26.2,77.19,18.21,11.3,53.52
28/10/2019,26.23,75.26,24.12,12.65,60.82
29/10/2019,24.67,73.49,35.1,14.32,86.01
30/10/2019,24.83,72.1,25.82,13.77,84.6
31/10/2019,25.7,60.67,20.9,13.82,61.34
01/11/2019,22.45,65.67,22.56,13.78,38.65
02/11/2019,21.52,67.23,18.57,15.67,40.76
03/11/2019,20.76,68.01,17.98,14.76,37.85
04/11/2019,22.33,68.57,20.99,12.21,36.09
05/11/2019,19.6,73.39,24.84,17.63,43.87
06/11/2019,17.86,76.64,27.01,18.97,32.95
07/11/2019,15.67,79.33,20.92,14.99,38.68
08/11/2019,19.03,73,16.58,17.61,34.53
09/11/2019,21.03,67.33,20.26,20.06,44.83
10/11/2019,21.17,65.33,21.06,17.53,46.66
11/11/2019,19.57,64.33,21.39,17.97,44.11
12/11/2019,16.63,69,31.49,22.54,90.05
13/11/2019,16.57,70,31.25,24.44,51.72
14/11/2019,17.02,69,30.97,23.75,43.78
15/11/2019,17.83,66,21.67,18.42,36.4
16/11/2019,16.53,61,16.54,21.13,37.99
17/11/2019,19.57,64,9.71,19.02,37.62
18/11/2019,19.8,61.33,16.17,18.44,40.57
19/11/2019,18.07,64,25.56,22.94,77.66
